Field_ID,Season,Site,Plot,Invasion,Net_Mineralization,Net_Nitrification
N_1_U_Fall19,Fall19,NCAR,1,Uninvaded,-0.053626399,-0.018583963
N_2_U_Fall19,Fall19,NCAR,2,Uninvaded,-0.03312665,0.019707622
N_3_U_Fall19,Fall19,NCAR,3,Uninvaded,-0.283959427,0.039591443
N_4_I_Fall19,Fall19,NCAR,4,Invaded,-0.470307081,-0.36120143
N_5_I_Fall19,Fall19,NCAR,5,Invaded,-0.073527723,-0.009032245
N_6_I_Fall19,Fall19,NCAR,6,Invaded,-1.285481154,-0.036853762
S_1_U_Fall19,Fall19,Shanahan,1,Uninvaded,0.135249435,0.202849399
S_2_U_Fall19,Fall19,Shanahan,2,Uninvaded,-0.285617291,-0.053407584
S_3_U_Fall19,Fall19,Shanahan,3,Uninvaded,-0.290986252,-0.19715545
S_4_I_Fall19,Fall19,Shanahan,4,Invaded,0.279221215,1.358489015
S_5_I_Fall19,Fall19,Shanahan,5,Invaded,-0.994500325,-0.290946709
S_6_I_Fall19,Fall19,Shanahan,6,Invaded,-0.410073257,0.234943223
C_1_U_Fall19,Fall19,Coyote,1,Uninvaded,-0.672636965,-0.505652607
C_2_U_Fall19,Fall19,Coyote,2,Uninvaded,-1.58101738,-0.006535935
C_3_U_Fall19,Fall19,Coyote,3,Uninvaded,-0.373728688,0
C_4_I_Fall19,Fall19,Coyote,4,Invaded,-0.075463659,0
C_5_I_Fall19,Fall19,Coyote,5,Invaded,-0.313750097,0.029059909
C_6_I_Fall19,Fall19,Coyote,6,Invaded,-0.977396625,-0.807527441
C_1_U_Spring20,Spring20,Coyote,1,Uninvaded,0.091544785,0.166583175
C_2_U_Spring20,Spring20,Coyote,2,Uninvaded,0.411774927,0.436287931
C_3_U_Spring20,Spring20,Coyote,3,Uninvaded,-0.036542322,0.009149324
C_4_I_Spring20,Spring20,Coyote,4,Invaded,0.095847782,0.149445466
C_5_I_Spring20,Spring20,Coyote,5,Invaded,0.030388218,0.078262071
C_6_I_Spring20,Spring20,Coyote,6,Invaded,-0.019760581,0.051775177
N_1_U_Spring20,Spring20,NCAR,1,Uninvaded,0.026684964,0.107315036
N_2_U_Spring20,Spring20,NCAR,2,Uninvaded,-0.021867269,0.034369052
N_3_U_Spring20,Spring20,NCAR,3,Uninvaded,0.011474573,0.063365569
N_4_I_Spring20,Spring20,NCAR,4,Invaded,0.727356949,0.437826927
N_5_I_Spring20,Spring20,NCAR,5,Invaded,-0.004343841,0.061825471
N_6_I_Spring20,Spring20,NCAR,6,Invaded,-0.01725967,0.029840836
S_1_U_Spring20,Spring20,Shanahan,1,Uninvaded,0.235323473,0.247289229
S_2_U_Spring20,Spring20,Shanahan,2,Uninvaded,-0.028225264,0.004780223
S_3_U_Spring20,Spring20,Shanahan,3,Uninvaded,-0.023421818,0.002356663
S_4_I_Spring20,Spring20,Shanahan,4,Invaded,0.187161904,0.190859943
S_5_I_Spring20,Spring20,Shanahan,5,Invaded,0.230052746,0.086424481
S_6_I_Spring20,Spring20,Shanahan,6,Invaded,-0.019497562,0.001054232
